d u	d I d
k ɨ m p Y l	k ɨ m p Y l d
k r æ k ɨ l	k r æ k ɨ l d
d I d u s	d I d u s t
f ɔ l t R	f ɔ l t R d
h a b ɨ l	h a b ɨ l d
r i k ɨ n s t r ʌ k t	r i k ɨ n s t r ʌ k t ɨ d
s k W l	s k W l d
t æ k s	t æ k s t
ɨ l a t	ɨ l a t ɨ d
k l W d	k l W d ɨ d
d r ʌ m	d r ʌ m d
E l I v e t	E l I v e t ɨ d
g a s I p	g a s I p t
r I f Y n	r I f Y n d
s t r I N	s t r ʌ N
s I m p ɨ T Y z	s I m p ɨ T Y z d
T r a b	T r a b d
t a p ɨ l	t a p ɨ l d
æ k t ɨ v e t	æ k t ɨ v e t ɨ d
b I w I C	b I w I C t
k a l ɨ n Y z	k a l ɨ n Y z d
k ɨ n t æ m I n e t	k ɨ n t æ m I n e t ɨ d
d Y l u t	d Y l u t ɨ d
d I s k ɨ n s R t	d I s k ɨ n s R t ɨ d
f Y n	f Y n d
g l e z	g l e z d
I n k l Y n	I n k l Y n d
I n t I m I d e t	I n t I m I d e t ɨ d
n a m I n e t	n a m I n e t ɨ d
r i l	r i l d
r I n W n s	r I n W n s t
s k r i C	s k r i C t
s l I D R	s l I D R d
s ɨ b s k r Y b	s ɨ b s k r Y b d
t R m	t R m d
k ɨ n t E n t	k ɨ n t E n t ɨ d
k R b	k R b d
I n d E v R	I n d E v R d
f l æ N k	f l æ N k t
f ʌ k	f ʌ k t
l u r	l u r d
n ʌ J	n ʌ J d
p r o l ɔ N	p r o l ɔ N d
s k o l d	s k o l d ɨ d
d I s g ʌ s t	d I s g ʌ s t ɨ d
f l I n C	f l I n C t
f o r t I f Y	f o r t I f Y d
n a t	n a t ɨ d
m æ s k	m æ s k t
W t w e	W t w e d
p R f E k t	p R f E k t ɨ d
p u l	p u l d
s t a r	s t a r d
w u	w u d
b r Y b	b r Y b d
k ɨ l Y d	k ɨ l Y d ɨ d
g r u p	g r u p t
I m p e r	I m p e r d
I n h e l	I n h e l d
I n t R s E p t	I n t R s E p t ɨ d
m ʌ d ɨ l	m ʌ d ɨ l d
o v R t R n	o v R t R n d
p e t r ɨ n Y z	p e t r ɨ n Y z d
p æ t R n	p æ t R n d
s e v R	s e v R d
s t a r C	s t a r C t
s ɨ f Y s	s ɨ f Y s t
t I n	t I n d
w a b ɨ l	w a b ɨ l d
b E l o	b E l o d
f l E k s	f l E k s t
f j u z	f j u z d
I m p a v ɨ r I S	I m p a v ɨ r I S t
n I b ɨ l	n I b ɨ l d
p I k C R	p I k C R d
r I t æ l i e t	r I t æ l i e t ɨ d
ɨ l Y	ɨ l Y d
b l æ k ɨ n	b l æ k ɨ n d
b r I s ɨ l	b r I s ɨ l d
k l ʌ t R	k l ʌ t R d
k O l	k O l d
d I t e n	d I t e n d
d I s p E l	d I s p E l d
g ʌ l p	g ʌ l p t
h æ C	h æ C t
h I C	h I C t
J a s ɨ l	J a s ɨ l d
m a d ɨ l	m a d ɨ l d
p r Y	p r Y d
r I d i m	r I d i m d
r I f r E S	r I f r E S t
T w o r t	T w o r t ɨ d
æ N k R	æ N k R d
k ɨ n s E n t	k ɨ n s E n t ɨ d
k r e v	k r e v d
I l æ b ɨ r e t	I l æ b ɨ r e t ɨ d
f o r g o	f o r w E n t
I n t r u d	I n t r u d ɨ d
l a l	l a l d
m a d R n Y z	m a d R n Y z d
p r a f I t	p r a f I t ɨ d
s p ɔ n	s p ɔ n d
t a t R	t a t R d
C R n	C R n d
I n æ k t	I n æ k t ɨ d
I n g r e v	I n g r e v d
I g z I l ɨ r e t	I g z I l ɨ r e t ɨ d
f r E t	f r E t ɨ d
h æ m p R	h æ m p R d
p r W l	p r W l d
r ʌ f ɨ l	r ʌ f ɨ l d
s k w R m	s k w R m d
b I h o l d	b I h E l d
b Y ɨ s	b Y ɨ s t
b R k	b R k t
k o k s	k o k s t
k ɨ n t E s t	k ɨ n t E s t ɨ d
s n i r	s n i r d
s p Y	s p Y d
s t æ f	s t æ f t
s t o k	s t o k t
s ʌ f ɨ k e t	s ʌ f ɨ k e t ɨ d
t R m I n e t	t R m I n e t ɨ d
ʌ n s E t ɨ l	ʌ n s E t ɨ l d
b I s t o	b I s t o d
b r Y t ɨ n	b r Y t ɨ n d
k ɨ n f l I k t	k ɨ n f l I k t ɨ d
k W n t ɨ r æ k t	k W n t ɨ r æ k t ɨ d
d I s k W n t	d I s k W n t ɨ d
W t n ʌ m b R	W t n ʌ m b R d
s k R i	s k R i d
T æ C	T æ C t
C ʌ k	C ʌ k t
I n k ʌ m p ɨ s	I n k ʌ m p ɨ s t
g r i v	g r i v d
g r u m	g r u m d
h I n d R	h I n d R d
p r I k	p r I k t
r e t	r e t ɨ d
r I f j u t	r I f j u t ɨ d
s i D	s i D d
s I m j U l e t	s I m j U l e t ɨ d
s k R t	s k R t ɨ d
s n o r t	s n o r t ɨ d
s k w ɔ S	s k w ɔ S t
t Y m	t Y m d
w e n	w e n d
b I d	b I d
b r i f	b r i f t
k l æ S	k l æ S t
k l I p	k l I p t
d I s k r E d I t	d I s k r E d I t ɨ d
d I s m e	d I s m e d
f I N g R	f I N g R d
g r æ t I f Y	g r æ t I f Y d
I n v R t	I n v R t ɨ d
m a r	m a r d
m a r v ɨ l	m a r v ɨ l d
m ʌ n C	m ʌ n C t
o v R f l o	o v R f l o d
p o C	p o C t
r I k l e m	r I k l e m d
r I k W n t	r I k W n t ɨ d
s i p	s i p t
s t Y l	s t Y l d
t æ n	t æ n d
w ɔ l	w ɔ l d
w I m p R	w I m p R d
ɨ b Y d	ɨ b Y d ɨ d
ɨ b W n d	ɨ b W n d ɨ d
d I s R n	d I s R n d
d a J	d a J d
I k w e t	I k w e t ɨ d
I g z E m p l ɨ f Y	I g z E m p l ɨ f Y d
f æ t ɨ n	f æ t ɨ n d
f j u ɨ l	f j u ɨ l d
I m R s	I m R s t
Y R n	Y R n d
l ʌ n C	l ʌ n C t
m o	m o d
ʌ n p æ k	ʌ n p æ k t
ɨ m E n d	ɨ m E n d ɨ d
b ʌ n d ɨ l	b ʌ n d ɨ l d
I n v E l ɨ p	I n v E l ɨ p t
g r e t	g r e t ɨ d
h æ v	h æ v d
m æ S	m æ S t
ɨ b l I t ɨ r e t	ɨ b l I t ɨ r e t ɨ d
p W n s	p W n s t
p ʌ t	p ʌ t ɨ d
s E n t	s E n t ɨ d
s k W R	s k W R d
S I p	S I p t
t W R	t W R d
ɨ l i v i e t	ɨ l i v i e t ɨ d
d I f R	d I f R d
d I f l E k t	d I f l E k t ɨ d
d I s I p e t	d I s I p e t ɨ d
f l ʌ k C u e t	f l ʌ k C u e t ɨ d
g l I n t	g l I n t ɨ d
J a g	J a g d
l e s	l e s t
m I m I k	m I m I k t
o v R T r o	o v R T r u
p l æ s t R	p l æ s t R d
p r I k l u d	p r I k l u d ɨ d
r I z Y d	r I z Y d ɨ d
t r ʌ J	t r ʌ J d
k o d	k o d ɨ d
d æ b	d æ b d
f e k	f e k t
f r æ g m E n t	f r æ g m E n t ɨ d
I n t ɨ r æ k t	I n t ɨ r æ k t ɨ d
p æ C	p æ C t
r æ S ɨ n ɨ l Y z	r æ S ɨ n ɨ l Y z d
r I l I N k w I S	r I l I N k w I S t
s t e b ɨ l Y z	s t e b ɨ l Y z d
w æ k s	w æ k s t
w E D R	w E D R d
w i d	w i d ɨ d
b e r	b e r d
d o n e t	d o n e t ɨ d
E k s k ɨ v e t	E k s k ɨ v e t ɨ d
g I l d	g I l d ɨ d
h R d	h R d ɨ d
I m p i d	I m p i d ɨ d
l Y s ɨ n s	l Y s ɨ n s t
m o S ɨ n	m o S ɨ n d
o r d e n	o r d e n d
t e m	t e m d
T r E d	T r E d ɨ d
w E t	w E t
w Y R	w Y R d
k l æ m p	k l æ m p t
k r i s	k r i s t
d a k j U m E n t	d a k j U m E n t ɨ d
I n s R k ɨ l	I n s R k ɨ l d
i r e s	i r e s t
I g z æ s p ɨ r e t	I g z æ s p ɨ r e t ɨ d
n ɔ	n ɔ d
k w o r t R	k w o r t R d
r i ɨ r e n J	r i ɨ r e n J d
r I p E l	r I p E l d
r u t	r u t ɨ d
r ʌ m b ɨ l	r ʌ m b ɨ l d
r ʌ s ɨ l	r ʌ s ɨ l d
s l e	s l u
s k w i l	s k w i l d
s t r i k	s t r i k t
s t Y l Y z	s t Y l Y z d
v W	v W d
k ɨ m E n d	k ɨ m E n d ɨ d
d E f ɨ n	d E f ɨ n d
I l u d	I l u d ɨ d
E m j ɨ l e t	E m j ɨ l e t ɨ d
I n f R	I n f R d
l Y t ɨ n	l Y t ɨ n d
l ʌ m b R	l ʌ m b R d
p ɨ t r o l	p ɨ t r o l d
r i p	r i p t
S r W d	S r W d ɨ d
s p a r k ɨ l	s p a r k ɨ l d
t e l R	t e l R d
t E m p R	t E m p R d
æ g r ɨ v e t	æ g r ɨ v e t ɨ d
I n t r ʌ s t	I n t r ʌ s t ɨ d
I k s p Y R	I k s p Y R d
f R t ɨ l Y z	f R t ɨ l Y z d
g r æ p ɨ l	g r æ p ɨ l d
W t g r o	W t g r u
p ɨ r e d	p ɨ r e d ɨ d
p l e g	p l e g d
r æ S ɨ n	r æ S ɨ n d
s t I C	s t I C t
t e l	t e l d
t I k ɨ l	t I k ɨ l d
t r E Z R	t r E Z R d
w e J	w e J d
d I s p l i z	d I s p l i z d
d a g	d a g d
d r E n C	d r E n C t
f l e v R	f l e v R d
p R v e d	p R v e d ɨ d
p R J	p R J d
S E l v	S E l v d
S r I v ɨ l	S r I v ɨ l d
ɨ d o r n	ɨ d o r n d
ɨ s o r t	ɨ s o r t ɨ d
b ɔ l	b ɔ l d
b l i C	b l i C t
b ʌ k ɨ l	b ʌ k ɨ l d
C a r m	C a r m d
k l i v	k l i v d
i l I s I t	i l I s I t ɨ d
h O s t	h O s t ɨ d
I C	I C t
p r ɨ s I p I t e t	p r ɨ s I p I t e t ɨ d
r æ p	r æ p t
r i k r i e t	r i k r i e t ɨ d
t E n s	t E n s t
t I p t o	t I p t o d
ʌ p d e t	ʌ p d e t ɨ d
æ m p l I f Y	æ m p l I f Y d
b Y s I k ɨ l	b Y s I k ɨ l d
k ɨ n s p Y R	k ɨ n s p Y R d
l æ p s	l æ p s t
p r ɨ p E l	p r ɨ p E l d
r i f I l	r i f I l d
s n o	s n o d
s k w i k	s k w i k t
s t u	s t u d
s w a m p	s w a m p t
k ɨ n v R s	k ɨ n v R s t
d u p l I k e t	d u p l I k e t ɨ d
I k s p E n d	I k s p E n d ɨ d
I n f I l t r e t	I n f I l t r e t ɨ d
I n t e r ɨ g e t	I n t e r ɨ g e t ɨ d
l a b i	l a b i d
l o r d	l o r d ɨ d
n ɨ s E s I t e t	n ɨ s E s I t e t ɨ d
p Y p	p Y p t
r Y ɨ t	r Y ɨ t ɨ d
s æ C R e t	s æ C R e t ɨ d
s k a r	s k a r d
s Y t	s Y t ɨ d
s t æ n d R d Y z	s t æ n d R d Y z d
s w R v	s w R v d
t w I N k ɨ l	t w I N k ɨ l d
ɨ k r u	ɨ k r u d
æ s R t e n	æ s R t e n d
b æ p t Y z	b æ p t Y z d
b I l o	b I l o d
k r I s ɨ n	k r I s ɨ n d
k l a g	k l a g d
k ɨ l æ b ɨ r e t	k ɨ l æ b ɨ r e t ɨ d
k ɨ m E n s	k ɨ m E n s t
k r ʌ n C	k r ʌ n C t
f I J I t	f I J I t ɨ d
I n f j u r i e t	I n f j u r i e t ɨ d
n I p	n I p t
o v R h æ N	o v R h ʌ N
k w I k ɨ n	k w I k ɨ n d
r i k ɨ n s I d R	r i k ɨ n s I d R d
r I g	r I g d
s t ɔ l	s t ɔ l d
s t I N k	s t ʌ N k
s t I N k	s t æ N k
s ɨ b t r æ k t	s ɨ b t r æ k t ɨ d
ʌ n n R v	ʌ n n R v d
æ k s E n C u e t	æ k s E n C u e t ɨ d
C e r	C e r d
k ɨ n d E n s	k ɨ n d E n s t
k r I s t ɨ l Y z	k r I s t ɨ l Y z d
k ʌ p	k ʌ p t
d I k r i	d I k r i d
d I p l i t	d I p l i t ɨ d
d I s s æ t I s f Y	d I s s æ t I s f Y d
h ʌ m p	h ʌ m p t
I n s t I t u S ɨ n ɨ l Y z	I n s t I t u S ɨ n ɨ l Y z d
J æ b	J æ b d
p æ d ɨ l	p æ d ɨ l d
r ʌ m I J	r ʌ m I J d
s ɔ l t	s ɔ l t ɨ d
s k o r n	s k o r n d
S i r	S i r d
S E l	S E l d
s I f t	s I f t ɨ d
s l æ k ɨ n	s l æ k ɨ n d
ɨ p i z	ɨ p i z d
b æ b ɨ l	b æ b ɨ l d
k ɨ n s t r e n	k ɨ n s t r e n d
k r i m	k r i m d
d ɔ n t	d ɔ n t ɨ d
d I s p e r	d I s p e r d
d ɨ m E s t I k e t	d ɨ m E s t I k e t ɨ d
I n S u r	I n S u r d
l æ p	l æ p t
m ɨ s a Z	m ɨ s a Z d
p I n p O n t	p I n p O n t ɨ d
p l Y	p l Y d
r I t o r t	r I t o r t ɨ d
s ʌ l k	s ʌ l k t
s R f I s	s R f I s t
v ɔ l t	v ɔ l t ɨ d
ɨ n O n t	ɨ n O n t ɨ d
b æ s k	b æ s k t
b l æ k m e l	b l æ k m e l d
I g z æ s R b e t	I g z æ s R b e t ɨ d
g r I m ɨ s	g r I m ɨ s t
I m p r I n t	I m p r I n t ɨ d
I n t R l a k	I n t R l a k t
O l	O l d
o v R l o d	o v R l o d ɨ d
p ʌ N k C u e t	p ʌ N k C u e t ɨ d
r I k l Y n	r I k l Y n d
s k r u t I n Y z	s k r u t I n Y z d
s n o r	s n o r d
w æ g	w æ g d
k ɨ n d o n	k ɨ n d o n d
d r æ m ɨ t Y z	d r æ m ɨ t Y z d
f e n	f e n d
f a n d ɨ l	f a n d ɨ l d
J E p R d Y z	J E p R d Y z d
m Y n	m Y n d
m j u t I l e t	m j u t I l e t ɨ d
u z	u z d
p r a f R	p r a f R d
r i J O n	r i J O n d
r E v ɨ l u S ɨ n Y z	r E v ɨ l u S ɨ n Y z d
r i r Y t	r i r o t
s ɔ n t R	s ɔ n t R d
v e r I f Y	v e r I f Y d
v Y	v Y d
ɔ g m E n t	ɔ g m E n t ɨ d
b æ S	b æ S t
b l ʌ n d R	b l ʌ n d R d
b r E k f ɨ s t	b r E k f ɨ s t ɨ d
b r E s t f i d	b r E s t f E d
k a n J R	k a n J R d
d E v ɨ s t e t	d E v ɨ s t e t ɨ d
f r I n J	f r I n J d
h e r ɨ l d	h e r ɨ l d ɨ d
J i r	J i r d
n u t r ɨ l Y z	n u t r ɨ l Y z d
p E t r I f Y	p E t r I f Y d
p r Y z	p r Y z d
r i s t r ʌ k C R	r i s t r ʌ k C R d
r I v i r	r I v i r d
r I d ɨ l	r I d ɨ l d
s k ʌ t ɨ l	s k ʌ t ɨ l d
s p Y r ɨ l	s p Y r ɨ l d
s w I v ɨ l	s w I v ɨ l d
t e p R	t e p R d
t o	t o d
w R s ɨ n	w R s ɨ n d
b æ n d I J	b æ n d I J d
k æ m ɨ f l a Z	k æ m ɨ f l a Z d
C a r t R	C a r t R d
d I v R s I f Y	d I v R s I f Y d
I n r o l	I n r o l d
f l e k	f l e k t
f l R t	f l R t ɨ d
g e J	g e J d
I m p r ɨ v Y z	I m p r ɨ v Y z d
m æ s	m æ s t
m æ s t R b e t	m æ s t R b e t ɨ d
m I n s	m I n s t
ɨ b s t r ʌ k t	ɨ b s t r ʌ k t ɨ d
p I s	p I s t
k j u	k j u d
s m o l d R	s m o l d R d
t æ t u	t æ t u d
w u p	w u p t
ɨ b s t e n	ɨ b s t e n d
b I f ɔ l	b I f E l
k r e d ɨ l	k r e d ɨ l d
k ʌ d ɨ l	k ʌ d ɨ l d
d I m o r ɨ l Y z	d I m o r ɨ l Y z d
f i s t	f i s t ɨ d
h a r b R	h a r b R d
h ʌ s ɨ l	h ʌ s ɨ l d
l u t	l u t ɨ d
m e l	m e l d
p W R	p W R d
r æ k	r æ k t
s p æ n	s p æ n d
t o s t	t o s t ɨ d
ʌ n l i S	ʌ n l i S t
v O s	v O s t
ɨ s æ s I n e t	ɨ s æ s I n e t ɨ d
b l u m	b l u m d
I n k e s	I n k e s t
I n t Y s	I n t Y s t
h Y k	h Y k t
h a l R	h a l R d
h j u m R	h j u m R d
I n s k r Y b	I n s k r Y b d
m æ p	m æ p t
p i p	p i p t
p r ɨ f E s	p r ɨ f E s t
p R s	p R s t
r i k æ p C R	r i k æ p C R d
r I p r o C	r I p r o C t
s æ d ɨ l	s æ d ɨ l d
s R v I s	s R v I s t
s p e s	s p e s t
s ɨ p l æ n t	s ɨ p l æ n t ɨ d
a r t I k j U l e t	a r t I k j U l e t ɨ d
b I s E t	b I s E t
b r I J	b r I J d
s E n s R	s E n s R d
k l æ s	k l æ s t
k a m p l I m E n t	k a m p l I m E n t ɨ d
k R t e l	k R t e l d
d Y ɨ t	d Y ɨ t ɨ d
d r I b ɨ l	d r I b ɨ l d
g æ m b ɨ l	g æ m b ɨ l d
g a b ɨ l	g a b ɨ l d
m E m ɨ r Y z	m E m ɨ r Y z d
m e r I t	m e r I t ɨ d
m I t I g e t	m I t I g e t ɨ d
p R s I k j u t	p R s I k j u t ɨ d
p l a d	p l a d ɨ d
r Y p ɨ n	r Y p ɨ n d
s k e l	s k e l d
s k r æ p	s k r æ p t
S r E d	S r E d ɨ d
s t ʌ n t	s t ʌ n t ɨ d
t æ g	t æ g d
t e p	t e p t
t e r ɨ s	t e r ɨ s t
t E D R	t E D R d
k æ p	k æ p t
k r u s I f Y	k r u s I f Y d
f o r s t ɔ l	f o r s t ɔ l d
I n t o n	I n t o n d
l æ g	l æ g d
l i C	l i C t
l W n J	l W n J d
m Y g r e t	m Y g r e t ɨ d
p e r ɨ l E l	p e r ɨ l E l d
r ʌ m p ɨ l	r ʌ m p ɨ l d
s æ N k S ɨ n	s æ N k S ɨ n d
s ɔ	s ɔ d
s p R	s p R d
s ɨ b m R J	s ɨ b m R J d
ɔ t o m e t	ɔ t o m e t ɨ d
b r W n	b r W n d
b ʌ g R	b ʌ g R d
d I d ʌ k t	d I d ʌ k t ɨ d
d I s l a J	d I s l a J d
I n J E n d R	I n J E n d R d
I g z o r t	I g z o r t ɨ d
E k s Y l	E k s Y l d
g ʌ t	g ʌ t ɨ d
I m p l æ n t	I m p l æ n t ɨ d
n ʌ m	n ʌ m d
r i o r g ɨ n Y z	r i o r g ɨ n Y z d
s k o r C	s k o r C t
s I n	s I n d
s p a r k	s p a r k t
ʌ n r æ v ɨ l	ʌ n r æ v ɨ l d
ɨ k w I t	ɨ k w I t ɨ d
k æ p I t ɨ l Y z	k æ p I t ɨ l Y z d
I J E k t	I J E k t ɨ d
I m æ n s I p e t	I m æ n s I p e t ɨ d
I n g r o s	I n g r o s t
I v æ k j u e t	I v æ k j u e t ɨ d
f U t	f U t ɨ d
g l W R	g l W R d
I m p l o r	I m p l o r d
l u p	l u p t
m E d I t e t	m E d I t e t ɨ d
p R s I v i r	p R s I v i r d
p r I d a m I n e t	p r I d a m I n e t ɨ d
r i o p ɨ n	r i o p ɨ n d
r I d I k j u l	r I d I k j u l d
s ɨ l u t	s ɨ l u t ɨ d
S æ d o	S æ d o d
s l I t	s l I t
s o S ɨ l Y z	s o S ɨ l Y z d
s p l I n t R	s p l I n t R d
s u p R s i d	s u p R s i d ɨ d
t Y l	t Y l d
t r æ n s p Y R	t r æ n s p Y R d
w E l	w E l d
b E l C	b E l C t
b ʌ k	b ʌ k t
b ʌ n C	b ʌ n C t
k l æ m R	k l æ m R d
k l E n z	k l E n z d
d I s t r ʌ s t	d I s t r ʌ s t ɨ d
d r ʌ g	d r ʌ g d
I n f l e t	I n f l e t ɨ d
J ʌ m b ɨ l	J ʌ m b ɨ l d
l ʌ n J	l ʌ n J d
m j u z	m j u z d
f r e z	f r e z d
p r e	p r e d
p R	p R d
r æ m	r æ m d
s æ d ɨ n	s æ d ɨ n d
s k I d	s k I d ɨ d
s t ʌ d	s t ʌ d ɨ d
t r Y ɨ m f	t r Y ɨ m f t
ɨ v E n J	ɨ v E n J d
b r e k	b r e k t
d I l u d	d I l u d ɨ d
d I n o t	d I n o t ɨ d
d ʌ b	d ʌ b d
I n t æ N g ɨ l	I n t æ N g ɨ l d
I g z u d	I g z u d ɨ d
h E J	h E J d
p I k ɨ l	p I k ɨ l d
r E l I g e t	r E l I g e t ɨ d
r i p l e	r i p l e d
s k ɔ f	s k ɔ f t
s m Y t	s m o t
s n i z	s n i z d
t O l	t O l d
t o t ɨ l	t o t ɨ l d
t w R l	t w R l d
w o r ɨ n t	w o r ɨ n t ɨ d
æ N g ɨ l	æ N g ɨ l d
b E d	b E d ɨ d
s I m E n t	s I m E n t ɨ d
k ɨ m E m ɨ r e t	k ɨ m E m ɨ r e t ɨ d
k ɨ m p j u t R Y z	k ɨ m p j u t R Y z d
k a n	k a n d
d I s ɨ b e	d I s ɨ b e d
I k s t I N g w I S	I k s t I N g w I S t
f l æ g	f l æ g d
g r W n d	g r W n d ɨ d
m i r R	m i r R d
n E s ɨ l	n E s ɨ l d
p I t	p I t ɨ d
p W t	p W t ɨ d
k w i r i	k w i r i d
r I b j u k	r I b j u k t
r o	r o d
s æ m p ɨ l	s æ m p ɨ l d
s I k r i t	s I k r i t ɨ d
S ʌ n	S ʌ n d
s k I n	s k I n d
s k w a n d R	s k w a n d R d
s ɨ b d u	s ɨ b d u d
t I N g ɨ l	t I N g ɨ l d
ʌ p r u t	ʌ p r u t ɨ d
v i r	v i r d
w o r p	w o r p t
b l a s ɨ m	b l a s ɨ m d
b R d ɨ n	b R d ɨ n d
b R o	b R o d
b ʌ s t	b ʌ s t ɨ d
b I z i	b I z i d
k e b ɨ l	k e b ɨ l d
k æ s t r e t	k æ s t r e t ɨ d
k l æ N	k l æ N d
k O n	k O n d
k a n d I s E n d	k a n d I s E n d ɨ d
k o r n R	k o r n R d
k o r ɨ l e t	k o r ɨ l e t ɨ d
d I p o r t	d I p o r t ɨ d
d I m	d I m d
d I v Y n	d I v Y n d
i l ɔ N g e t	i l ɔ N g e t ɨ d
I r æ d ɨ k e t	I r æ d ɨ k e t ɨ d
f l I t	f l I t ɨ d
f o r I J	f o r I J d
h u t	h u t ɨ d
Y s	Y s t
I m p E l	I m p E l d
I m p l I k e t	I m p l I k e t ɨ d
J o l t	J o l t ɨ d
m E d ɨ l	m E d ɨ l d
W t l ɔ	W t l ɔ d
p a r C	p a r C t
p a r d ɨ n	p a r d ɨ n d
r I v o l t	r I v o l t ɨ d
s k w R t	s k w R t ɨ d
s t æ m R	s t æ m R d
s t o	s t o d
s R p æ s	s R p æ s t
t i D	t i D d
t I N k ɨ l	t I N k ɨ l d
w Y t w ɔ S	w Y t w ɔ S t
C Y m	C Y m d
k a n f I s k e t	k a n f I s k e t ɨ d
k ɨ n t o r t	k ɨ n t o r t ɨ d
d æ m p ɨ n	d æ m p ɨ n d
E m I g r e t	E m I g r e t ɨ d
I n t r æ n s	I n t r æ n s t
I k s E l	I k s E l d
f l a k	f l a k t
f o r f I t	f o r f I t ɨ d
J e l	J e l d
l ɨ m E n t	l ɨ m E n t ɨ d
m E k ɨ n Y z	m E k ɨ n Y z d
m o r	m o r d
o r i ɨ n t	o r i ɨ n t ɨ d
p E d ɨ l	p E d ɨ l d
p i n ɨ l Y z	p i n ɨ l Y z d
p r o t r æ k t	p r o t r æ k t ɨ d
s t e r i o t Y p	s t e r i o t Y p t
s t r ʌ t	s t r ʌ t ɨ d
b I s i J	b I s i J d
b r W z	b r W z d
k r o	k r o d
I k s p W n d	I k s p W n d ɨ d
f l W n d R	f l W n d R d
f r æ k C R	f r æ k C R d
g æ g	g æ g d
g a r d ɨ n	g a r d ɨ n d
g R g ɨ l	g R g ɨ l d
g ʌ S	g ʌ S t
Y d i ɨ l Y z	Y d i ɨ l Y z d
I n d Y t	I n d Y t ɨ d
m i d i e t	m i d i e t ɨ d
p l e k e t	p l e k e t ɨ d
p j U r I f Y	p j U r I f Y d
r æ v I J	r æ v I J d
r i l e	r i l e d
r I t r æ k t	r I t r æ k t ɨ d
T ɔ	T ɔ d
t r ɨ v R s	t r ɨ v R s t
w I l t	w I l t ɨ d
ɨ l Y t	ɨ l Y t ɨ d
b r æ n C	b r æ n C t
d i J E n R e t	d i J E n R e t ɨ d
d I s t I l	d I s t I l d
E C	E C t
f W l	f W l d
m ɔ l	m ɔ l d
m I s t I f Y	m I s t I f Y d
n ɔ z i e t	n ɔ z i e t ɨ d
o v R r Y d	o v R r o d
p R m i e t	p R m i e t ɨ d
p I k I t	p I k I t ɨ d
p I t i	p I t i d
p r i s ɨ p o z	p r i s ɨ p o z d
r E m ɨ d i	r E m ɨ d i d
r ʌ s t	r ʌ s t ɨ d
s k r æ b ɨ l	s k r æ b ɨ l d
s p u n	s p u n d
s R m W n t	s R m W n t ɨ d
j u r I n e t	j u r I n e t ɨ d
b e l	b e l d
b r æ n d	b r æ n d ɨ d
k a r t	k a r t ɨ d
k l a t	k l a t ɨ d
g l u	g l u d
h I n J	h I n J d
n i d	n i d ɨ d
m o t R	m o t R d
o v R S æ d o	o v R S æ d o d
r i d I s t r I b j u t	r i d I s t r I b j u t ɨ d
r i l I v	r i l I v d
r I p i l	r I p i l d
r I p j u d i e t	r I p j u d i e t ɨ d
S o l d R	S o l d R d
t r æ m p	t r æ m p t
t r u p	t r u p t
t r ʌ n d ɨ l	t r ʌ n d ɨ l d
ʌ n v e l	ʌ n v e l d
w a l o	w a l o d
æ p r I h E n d	æ p r I h E n d ɨ d
ɨ p r o p r i e t	ɨ p r o p r i e t ɨ d
k ɨ n f W n d	k ɨ n f W n d ɨ d
d I s Y f R	d I s Y f R d
d I s ɨ p O n t	d I s ɨ p O n t ɨ d
I l æ p s	I l æ p s t
e r	e r d
f e r	f e r d
f R m E n t	f R m E n t ɨ d
f r e	f r e d
g a l f	g a l f t
I n s t I l	I n s t I l d
I n t R s p R s	I n t R s p R s t
l o	l o d
p E g	p E g d
s k æ m p R	s k æ m p R d
s I n T ɨ s Y z	s I n T ɨ s Y z d
t r æ n s p l æ n t	t r æ n s p l æ n t ɨ d
ɨ s e l	ɨ s e l d
b o l s t R	b o l s t R d
b O k a t	b O k a t ɨ d
b r e d	b r e d ɨ d
k ɨ m j u t	k ɨ m j u t ɨ d
k o r ɨ g e t	k o r ɨ g e t ɨ d
d æ m p	d æ m p t
f l ɔ n t	f l ɔ n t ɨ d
l O t R	l O t R d
l ʌ l	l ʌ l d
m ʌ D R	m ʌ D R d
p e r	p e r d
p R v R t	p R v R t ɨ d
p a k I t	p a k I t ɨ d
r E k ɨ l E k t	r E k ɨ l E k t ɨ d
r i d r E s	r i d r E s t
r u m R	r u m R d
s Y t	s Y t ɨ d
s Y z	s Y z d
s l æ n t	s l æ n t ɨ d
s l a p	s l a p t
s p æ t R	s p æ t R d
s t r æ d ɨ l	s t r æ d ɨ l d
t e r ɨ r Y z	t e r ɨ r Y z d
ʌ n J u l e t	ʌ n J u l e t ɨ d
b r e n w ɔ S	b r e n w ɔ S t
b r I m	b r I m d
b U C R	b U C R d
C a r	C a r d
k ʌ l	k ʌ l d
d i s E n t r ɨ l Y z	d i s E n t r ɨ l Y z d
d I f j u z	d I f j u z d
d I s g r e s	d I s g r e s t
I m b I t R	I m b I t R d
I m p W R	I m p W R d
f o r k	f o r k t
f o r m ɨ l Y z	f o r m ɨ l Y z d
f r I k w E n t	f r I k w E n t ɨ d
I n s t ɨ t u t	I n s t ɨ t u t ɨ d
l E v i	l E v i d
l o k ɨ l Y z	l o k ɨ l Y z d
p o l ɨ r Y z	p o l ɨ r Y z d
p r o l I f R e t	p r o l I f R e t ɨ d
r i ɨ f R m	r i ɨ f R m d
r i s R C	r i s R C t
